task,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,labels_present,slice_time_sec
Task01_BrainTumour,0.63418,0.32349,0.57645,0.29651,2729.58729,2123.77945,1593.4393,57600.0,2.35216,0.40203
Task02_Heart,0.64569,0.40165,0.58374,0.38791,1141.87935,1058.2154,692.09104,102400.0,1.0,0.33822
Task03_Liver,0.59998,0.24554,0.58997,0.18815,13195.08811,13624.29403,10142.97075,262144.0,1.0,0.38611
Task04_Hippocampus,0.40511,0.3155,0.41058,0.41969,571.11474,317.9406,128.82332,1774.31345,1.33389,0.32137
Task05_Prostate,0.82213,0.29314,0.7546,0.16938,4125.4818,3557.06105,3437.22105,99623.34316,1.63579,0.31821
Task06_Lung,0.62203,0.47213,0.53048,0.19285,1151.53732,1520.43548,1155.24044,262144.0,1.0,0.37812
Task07_Pancreas,0.69084,0.33141,0.67325,0.22716,2999.33602,3212.04207,2123.10163,262144.0,1.31454,0.40039
Task08_HepaticVessel,0.25648,0.09711,0.27388,0.10586,9689.57081,10421.95163,3021.18092,262144.0,1.41881,0.37738
Task09_Spleen,0.77413,0.42206,0.82144,0.38393,4675.38233,4935.31811,3985.75833,262144.0,1.0,0.35474
Task10_Colon,0.61244,0.28538,0.63176,0.26671,2438.92219,1999.41382,1357.29729,262144.0,1.0,0.35245
